Colon carcinoma	TS-0161
Colon endothelial cell	TS-0162
Colon endothelium	TS-0162
Colon epithelial cell	TS-0163
Colon epithelium	TS-0163
Colon glandular cell	TS-1274
Colon glandular cells	TS-1274
Colon malignant tumor	TS-0160
Colon mucosa	TS-0164
Colon smooth muscle	TS-0165
Colon tumor	TS-0166
Colon tumour	TS-0166
Colonic adenocarcinoma	TS-0159
Colonic endothelial cell	TS-0162
Colonic endothelium	TS-0162
Colonic epithelial cell	TS-0163
Colonic epithelium	TS-0163
Colonic mucosa	TS-0164
Colonic smooth muscle	TS-0165
Colonic tumor	TS-0166
Colonic tumour	TS-0166
Colorectal	TS-1298
Colorectal adenocarcinoma	TS-0159
Colorectal cancer	TS-0160
Colorectal carcinoma	TS-0161
Colorectal endothelial cell	TS-0162
Colorectal endothelium	TS-0162
Colorectal epithelial cell	TS-0163
Colorectal epithelium	TS-0163
Colorectal malignant tumor	TS-0160
Colorectal mucosa	TS-0164
Colorectal smooth muscle	TS-0165
Colorectal tumor	TS-0166
Colorectal tumour	TS-0166
Colorectum	TS-1298
Colostrum	TS-0167
Colostrum corpuscles	TS-0167
Conceptus membrane	TS-0168
Concha of cranium	TS-0108
Cone	TS-0169
Conidia	TS-0170
Conidium	TS-0170
Corm	TS-1328
Cornea	TS-0171
Cornea endothelial cell	TS-0172
Cornea endothelium	TS-0172
Cornea epithelial cell	TS-0173
Cornea epithelium	TS-0173
Cornea stroma	TS-1138
Corneal endothelial cell	TS-0172
Corneal endothelium	TS-0172
Corneal epithelial cell	TS-0173
Corneal epithelium	TS-0173
Corneal fibroblast	TS-1159
Corneal stroma	TS-1138
Cornu luminal epithelial cell	TS-1100
Cornu luminal epithelium	TS-1100
Corolla	TS-0174
Coronary arterial endothelial cell	TS-0175
Coronary arterial endothelium	TS-0175
Coronary artery	TS-0176
Corpora allata	TS-0177
Corpora cardiaca	TS-0178
Corpora lutea	TS-0181
Corpora pedunculata	TS-1137
Corpora quadrigemina	TS-0179
Corpora spongiosa	TS-0182
Corpus callosum	TS-0180
Corpus cavernosum urethrae	TS-0182
Corpus luteum	TS-0181
Corpus Luysi	TS-1154
Corpus spongiosum	TS-0182
Corpus striatum	TS-0183
Corpus, uterine	TS-1265
Corpus, uterine glandular cell	TS-1287
Corpus, uterine glandular cells	TS-1287
Corpuscle	TS-0290
Corpusculum renale	TS-1317
Cortex	TS-0091
Cortex glial cell	TS-1256
Cortex neural cell	TS-1259
Cortex of adrenal gland	TS-0015
Cortex of suprarenal gland	TS-0015
Cortical cell of adrenal gland	TS-1235
Cotyledon	TS-0184
CR cell	TS-1171
Craniofacial	TS-0185
Cropsac	TS-0186
Crystalline style	TS-1208
CSF	TS-0130
Culm	TS-0187
Cultured protoplast	TS-0834
Cultured root	TS-0188
Cultured root cell	TS-0188
Cuticle	TS-0189
Cuticular epidermis	TS-0189
Cytolytic T lymphocyte	TS-0190
Cytolytic T-cell	TS-0190
Cytolytic T-lymphocyte	TS-0190
Cytotoxic T lymphocyte	TS-0190
Cytotoxic T-cell	TS-0190
Cytotoxic T-lymphocyte	TS-0190
Dander	TS-0191
Dart gland	TS-0192
DC2	TS-0801
DCN	TS-1187
Decidua	TS-0193
Dendritic cell	TS-0194
Dens molaris	TS-0637
Dental organ	TS-0271
Dental pulp	TS-0195
Dermal melanophore	TS-0196
Dermal papilla	TS-0431
Dermal papillae	TS-0431
Dermal system	TS-1299
Dermoid cancer	TS-0197
Diaphragm	TS-0198
Diaphragm muscle	TS-0198
Diencephalon	TS-0199
Digestive gland	TS-0200
Digestive juice	TS-0201
Digestive system	TS-1293
