A. konjac K. Koch	78372
A. konjac K.Koch ex Matsum. & Hayata	78372
A. koreanus	96667
A. koreanus Nakai	96667
A. kuehniella	40079
A. kurodai	6501
A. kusnezoffii	239685
A. kutzigianus	438
A. labranchiae	41428
A. lactamdurans	1913
A. lacucha	382341
A. laevis	8678
A. lafarianum	435
A. lagopus	494514
A. laidlawii	2148
A. lakoocha	382341
A. lancea	69406
A. lapathifolia	3704
A. lappa	324593
A. lappa	4217
A. lappa Decne.	324593
A. lasiocarpa	34340
A. lata	45677
A. latent spherical virus	101688
A. lathami	81907
A. latirostris	190476
A. latus	45677
A. lavendulae	1914
A. lebbeck	371650
A. lebbek	371650
A. lemurinus griseimembra	292213
A. lentiginosus	20416
A. lentiginosus Douglas ex Hook.	20416
A. lentulus	293939
A. leptodactylus	6717
A. leptorhynchus	36674
A. lervia	9899
A. lesteri anthropophagus	74872
A. leukosis virus	11864
A. leukosis viruses	11864
A. levoris	67317
A. lignieresi	720
A. lignieresii	720
A. lignieresii Brumpt 1910	720
A. limacina	6502
A. limnaeus	52670
A. linearis	155124
A. lipmanii	1919
A. lipoferum	193
A. liquefaciens	33918
A. liquefaciens	614
A. liquefaciens	644
A. littoralis	110874
A. lituratus	27634
A. lividans	1916
A. lixula	7640
A. locustae	278021
A. logei	688
A. lolii	73839
A. longa	3037
A. longirostre	251386
A. lovaniense	438
A. lucens	59808
A. lucidus	59808
A. lucii	317564
A. ludens	28586
A. lugdunensis	61605
A. lumbricoides	6252
A. lunatus	339
A. lusitanicus	236853
A. luteo-violaceus	43657
A. luteoviolacea	43657
A. luteus	1710
A. lwoffii	28090
A. lwoffii RAG-1	68991
A. lyrata	59689
A. lyticus	224
A. macerans	44252
A. macleodii	28108
A. macrocephala	265785
A. macrocephala Koidz.	265785
A. macrodactylum	43111
A. macrogynus	28583
A. macrophylla	693366
A. macrorrhiza	4456
A. macrorrhizos	4456
A. macrostemon	91198
A. macrostemon Bunge	91198
A. maculatum	34609
A. maculatum	43114
A. maculatum	4458
A. maculatum L.	4458
A. maculatus	74869
A. maculipennis	41429
A. madurae	1993
A. magnetotacticum	188
A. majalis	221092
A. majus	4151
A. majus	48026
A. malaysiensis	458178
A. mallei	13373
A. mangium	224085
A. mangium Willd.	224085
A. mangostanus	29722
A. manihot	183220
A. manshuriensis	158555
